# NO, NO2, NOx, CO, SO2, H2S in mug/cbm; WD in degrees; WS in m/s; Temp in degrees C; Humidity is relative humidity (?); Pressure in hPa; Radiation in W/sq m; Rain ?; Dust in mug/cbm
Date	Time	NO	NO2 	NOx 	CO 	SO2 	H2S	WD 	WS	Temp	Hum	Pres	Rad	Rain	Dust10	Dust2.5
01.02.2014	00:00	0.2	-3.8	-3.4	0.192	7.7	5.0	57.9	5.2	6.1	58.6	976	3	0.0	10.4	4.6
01.02.2014	00:30	0.4	-2.9	-2.3	0.197	8.0	5.1	60.7	4.8	6.4	56.7	977	3	0.0		0.1
01.02.2014	01:00	0.6	-3.2	-2.2	0.203	8.7	5.2	62.6	5.5	6.4	57.4	977	2	0.0	0.0	0.5
01.02.2014	01:30	0.1	-3.3	-3.2	0.216	8.3	5.0	58.1	4.8	6.4	58.7	977	2	0.0	0.0	0.0
01.02.2014	02:00	1.1	-3.0	-1.2	0.232	9.1	5.0	56.4	4.1	6.3	59.0	977	2	0.0	14.1	4.7
01.02.2014	02:30	0.1	-3.9	-3.7	0.219	8.4	4.8	62.6	5.3	6.1	59.9	978	2	0.0	23.0	12.6
01.02.2014	03:00	0.0	-3.8	-3.7	0.218	8.1	4.7	71.3	4.2	6.0	58.0	978	2	0.0	0.0	0.0
01.02.2014	03:30	-0.0	-4.4	-4.4	0.211	8.2	4.9	63.5	6.5	6.1	55.3	977	3	0.0	0.0	0.0
01.02.2014	04:00	-0.1	-4.6	-4.7	0.213	8.4	4.9	59.1	5.7	5.7	57.1	977	2	0.0	0.0	0.0
01.02.2014	04:30	0.0	-4.6	-4.5	0.210	8.8	5.0	60.5	4.0	5.4	57.4	977	2	0.0	12.7	6.0
01.02.2014	05:00	-0.0	-4.6	-4.6	0.216	8.8	5.2	62.0	3.3	5.8	54.7	978	2	0.0	33.5	15.6
01.02.2014	05:30	0.1	-4.3	-4.1	0.215	8.0	4.9	63.0	5.1	6.1	53.2	978	3	0.0	0.0	0.0
01.02.2014	06:00	-0.0	-4.1	-4.1	0.220	7.8	4.9	67.4	5.1	6.3	53.7	978	3	0.0	2.2	
01.02.2014	06:30	0.1	-4.1	-4.0	0.226	8.0	5.2	66.2	5.1	6.3	54.4	978	3	0.0	0.0	
01.02.2014	07:00	0.2	-3.7	-3.4	0.230	8.3	4.9	59.3	4.9	6.5	54.8	978	3	0.0	0.3	0.0
01.02.2014	07:30	0.6	-3.8	-2.9	0.234	9.0	5.5	43.3	3.6	5.3	62.8	979	2	0.0	20.6	5.6
01.02.2014	08:00	1.3	-2.8	-0.8	0.228	7.6	4.8	50.7	3.2	5.0	64.8	979	2	0.0	15.4	0.0
01.02.2014	08:30	0.1	-3.4	-3.1	0.227	7.5	5.2	62.2	4.5	6.0	58.8	979	2	0.0	0.0	0.3
01.02.2014	09:00	4.8	1.5	8.9	0.256	8.6	5.2	39.9	2.1	5.8	60.7	980	2	0.0	0.0	0.8
01.02.2014	09:30	6.5	3.3	13.4	0.408	8.9	5.3	38.0	2.0	5.6	62.2	980	2	0.0	0.1	7.8
01.02.2014	10:00	2.4	1.8	5.5	0.241	8.8	5.2	59.3	2.5	5.7	61.8	980	3	0.0	12.4	10.2
01.02.2014	10:30	3.7	4.0	9.6	0.263	8.8	5.0	111.6	1.9	5.9	61.4	980	5	0.0	17.6	12.1
01.02.2014	11:00	2.6	4.0	7.9	0.246	8.4	4.9	93.0	2.5	6.0	61.1	981	9	0.0	0.0	0.9
01.02.2014	11:30	2.2	2.4	5.8	0.247	8.0	5.4	82.0	3.6	6.4	59.4	981	14	0.0	0.0	2.1
01.02.2014	12:00	1.6	1.7	4.2	0.247	8.7	5.3	88.2	5.0	6.4	58.9	981	20	0.0	0.0	0.0
01.02.2014	12:30	2.5	3.7	7.5	0.265	9.0	5.5	91.5	4.6	6.4	59.4	981	35	0.0	32.5	11.5
01.02.2014	13:00	4.0	7.8	14.0	0.299	7.8	4.8	85.0	3.1	6.5	58.8	982	32	0.0	11.2	0.0
01.02.2014	13:30	4.8	9.8	17.2	0.313	8.8	5.0	70.9	2.4	6.6	57.7	982	26	0.0	0.0	0.0
01.02.2014	14:00	3.5	8.9	14.3	0.293	8.4	5.3	69.1	2.5	6.2	58.8	982	20	0.0	0.0	0.0
01.02.2014	14:30	2.6	8.2	12.1	0.295	8.3	5.3	74.9	2.6	6.0	59.2	982	15	0.0	17.3	17.6
01.02.2014	15:00	3.0	10.4	15.0	0.267	7.9	4.8	67.0	2.5	6.0	58.0	982	16	0.0	19.5	9.5
01.02.2014	15:30	3.9	14.9	20.9	0.295	7.4	4.6	98.6	3.2	5.9	57.9	982	15	0.0	0.0	0.0
01.02.2014	16:00	2.3	6.6	10.1	0.261	7.8	5.2	85.9	3.6	5.5	58.7	982	10	0.0	0.0	0.0
01.02.2014	16:30	1.9	4.7	7.7	0.241	8.4	5.1	81.0	3.7	5.2	59.9	982	9	0.0	0.0	0.0
01.02.2014	17:00	1.6	0.6	3.0	0.212	8.6	5.4	72.4	4.0	5.3	57.6	983	7	0.0	28.3	14.7
01.02.2014	17:30	5.1	5.7	13.5	0.262	8.2	4.9	62.7	3.0	5.0	58.4	983	4	0.0	0.0	0.0
01.02.2014	18:00	3.1	4.7	9.5	0.234	8.3	4.8	70.4	3.6	4.8	59.1	983	2	0.0	0.0	0.0
01.02.2014	18:30	1.9	3.0	5.9	0.218	7.9	4.6	78.1	4.1	4.8	58.3	983	2	0.0	0.3	1.1
01.02.2014	19:00	1.2	1.1	3.0	0.204	8.4	5.0	73.7	3.8	4.6	58.7	983	2	0.0	0.0	9.6
01.02.2014	19:30	0.9	-0.3	1.1	0.190	8.0	5.3	71.0	4.5	4.4	59.1	983	2	0.0	1.0	7.6
01.02.2014	20:00	1.1	-1.8	-0.2	0.188	8.6	4.9	71.7	5.5	4.2	59.9	983	2	0.0	11.1	5.4
01.02.2014	20:30	0.7	-2.0	-0.9	0.179	8.0	5.1	78.6	5.2	3.8	61.5	983	2	0.0	19.4	17.1
01.02.2014	21:00	0.8	-2.6	-1.4	0.170	7.3	4.6	78.8	5.8	3.8	59.7	984	2	0.0	0.0	0.0
01.02.2014	21:30	0.6	-3.2	-2.3	0.177	7.7	4.6	77.5	6.0	3.8	58.5	984	2	0.0	0.4	0.5
01.02.2014	22:00	0.3	-4.0	-3.5	0.162	8.3	4.8	67.0	6.4	3.6	59.3	983	2	0.0	3.7	8.5
01.02.2014	22:30	0.3	-4.3	-3.8	0.166	7.6	5.1	66.4	6.0	3.4	58.8	983	2	0.0	0.0	6.2
01.02.2014	23:00	0.6	-3.6	-2.6	0.170	8.8	4.7	63.9	4.1	3.6	56.4	983	2	0.0	0.0	9.5
01.02.2014	23:30	0.3	-4.1	-3.6	0.162	8.5	4.9	68.2	3.7	3.5	56.1	983	2	0.0	11.7	0.0
02.02.2014	00:00	1.6	-2.7	-0.2	0.175	9.6	5.4	45.1	3.6	3.4	56.8	983	2	0.0	11.2	7.5
02.02.2014	00:30	2.6	1.3	5.3	0.180	8.6	5.0	16.5	3.1	2.5	64.9	983	2	0.0		0.0
02.02.2014	01:00	3.8	1.8	7.6	0.232	8.7	5.0	40.5	3.2	2.9	59.7	982	2	0.0	0.0	4.7
02.02.2014	01:30	3.2	0.0	4.9	0.184	8.4	5.4	16.5	2.8	3.3	57.6	982	2	0.0	0.0	4.6
02.02.2014	02:00	2.4	2.4	6.0	0.212	8.0	5.0	337.3	2.1	2.9	60.1	982	2	0.0	9.1	4.8
02.02.2014	02:30	0.4	-4.1	-3.5	0.160	9.0	5.1	58.5	3.6	3.0	57.3	981	2	0.0	0.0	7.9
02.02.2014	03:00	-0.1	-5.0	-5.1	0.161	8.5	5.1	63.9	6.3	2.4	62.1	981	2	0.0	2.4	11.5
02.02.2014	03:30	-0.1	-5.3	-5.5	0.155	8.5	5.2	64.0	5.9	2.4	62.2	981	2	0.0	6.8	10.1
02.02.2014	04:00	-0.2	-5.2	-5.5	0.155	9.1	5.4	64.7	6.2	2.4	61.8	980	2	0.0	3.2	2.1
02.02.2014	04:30	-0.0	-5.1	-5.1	0.156	9.4	5.3	61.1	4.3	2.4	61.5	980	2	0.0	4.6	6.4
02.02.2014	05:00	-0.1	-5.2	-5.3	0.156	9.0	5.7	57.0	4.3	2.3	62.1	980	2	0.0	0.0	1.9
02.02.2014	05:30	-0.0	-5.1	-5.1	0.165	9.1	5.5	58.0	4.1	2.2	62.7	980	2	0.0	17.1	12.6
02.02.2014	06:00	-0.0	-5.1	-5.1	0.160	7.8	4.8	63.0	4.5	2.1	63.5	980	2	0.0	18.2	
02.02.2014	06:30	-0.1	-4.9	-4.9	0.159	7.9	4.8	59.7	4.6	2.1	64.0	980	2	0.0	0.0	
02.02.2014	07:00	-0.1	-4.8	-5.0	0.164	7.4	4.7	65.3	5.5	2.0	65.1	980	2	0.0	0.0	5.0
02.02.2014	07:30	0.0	-4.9	-4.9	0.163	8.5	4.8	58.3	5.2	2.0	66.0	980	2	0.0	0.0	4.2
02.02.2014	08:00	0.0	-4.6	-4.5	0.166	8.3	5.0	65.2	5.3	2.0	65.6	980	2	0.0	0.0	1.5
02.02.2014	08:30	0.2	-4.6	-4.3	0.174	8.2	5.0	63.3	3.9	1.9	66.6	980	2	0.0	5.0	2.6
02.02.2014	09:00	-0.0	-4.5	-4.6	0.163	8.3	5.1	60.0	4.9	1.8	67.2	980	2	0.0	8.9	10.9
02.02.2014	09:30	-0.0	-5.0	-5.0	0.167	8.3	4.9	61.5	5.8	2.2	62.8	980	2	0.0	2.8	0.0
02.02.2014	10:00	0.3	-4.5	-4.0	0.167	8.6	4.9	61.0	5.4	2.4	61.5	980	2	0.0	0.0	17.3
02.02.2014	10:30	0.0	-4.9	-4.8	0.161	8.5	5.0	62.5	4.9	2.3	62.8	980	4	0.0	15.0	4.8
02.02.2014	11:00	0.6	-3.4	-2.6	0.184	8.6	5.2	55.7	3.2	2.7	60.4	980	7	0.0	1.7	11.3
02.02.2014	11:30	1.3	-3.4	-1.4	0.174	8.7	4.9	60.2	4.5	3.0	59.7	980	10	0.0	4.2	11.8
02.02.2014	12:00	2.3	-1.2	2.4	0.200	8.7	5.3	43.9	3.1	2.6	64.1	980	13	0.0	7.4	0.0
02.02.2014	12:30	8.4	3.6	16.5	0.230	8.9	5.6	30.3	3.2	2.3	66.6	980	15	0.0	20.1	9.3
02.02.2014	13:00	4.3	0.4	7.0	0.210	9.5	5.2	52.7	3.3	2.5	65.6	980	15	0.0	5.4	22.3
02.02.2014	13:30	2.4	-0.9	2.8	0.201	8.6	5.6	59.8	3.7	2.8	62.7	980	16	0.0	34.2	16.5
02.02.2014	14:00	2.4	-0.5	3.3	0.195	7.9	4.9	59.3	3.6	2.7	64.8	981	13	0.0	8.9	0.4
02.02.2014	14:30	2.9	1.1	5.5	0.239	7.9	4.8	61.1	2.7	2.9	64.2	980	13	0.0	0.1	4.4
02.02.2014	15:00	2.1	-0.5	2.7	0.205	8.8	5.0	59.9	3.5	2.7	67.0	980	16	0.0	4.9	9.1
02.02.2014	15:30	1.0	-2.0	-0.5	0.195	8.7	5.0	69.1	4.5	2.9	65.9	980	16	0.0	5.4	1.3
02.02.2014	16:00	1.7	-1.3	1.3	0.215	8.1	5.2	59.1	4.0	2.8	67.3	980	11	0.0	2.4	8.9
02.02.2014	16:30	3.6	1.0	6.5	0.255	8.7	5.7	61.6	3.3	2.9	65.9	980	8	0.0	12.6	4.8
